,product_name,description,image,price
0,可口可樂 - 汽水-原箱 ,330MLX24 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$85
1,可口可樂 - 加系-膳食纖維無糖汽水-原箱 ,330MLX24 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$87
2,玉泉 - 忌廉-原箱 ,330MLX24 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$85
3,雪碧 - 檸檬青檸味汽水-原箱 ,330MLX24 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$85
4,玉泉 - 梳打水-原箱 ,330MLX24 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$97.9
5,玉泉(平行進口) - 梳打水-原箱 ,320MLX24 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$85
6,VITA 維他 - 氣泡檸檬茶(罐裝) ,310MLX6 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$25
7,勝獅 - 梳打水-原箱 ,325MLX24 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$79.9
8,可口可樂 - 無糖汽水-原箱 ,330MLX24 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$85
9,VITA 維他 - 氣泡桃橙茶(罐裝) ,310MLX6 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$33
10,泰象 - 梳打水-原箱 ,325MLX24 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$74.9
11,屈臣氏 - 蘇打水 ,330MLX4 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$17.9
12,樂天 - 忌廉溝鮮奶 ,250MLX6 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$25.9
13,可口可樂 - 汽水迷你罐 ,200MLX6 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$25
14,屈臣氏 - 梳打水-原箱 ,330MLX24 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$85
15,可口可樂 - 汽水-高罐裝 ,330MLX4 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$15.9
16,可口可樂 - 汽水 ,330MLX8 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$34.9
17,可口可樂 - 無糖汽水-汽水迷你罐 ,200MLX6 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$25
