,Unnamed: 0,brand,product_name,description,image,price
6,6,VITA 維他,氣泡檸檬茶(罐裝) ,310MLX6 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",25.0
9,9,VITA 維他,氣泡桃橙茶(罐裝) ,310MLX6 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",33.0
11,11,屈臣氏,蘇打水 ,330MLX4 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",17.9
12,12,樂天,忌廉溝鮮奶 ,250MLX6 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",25.9
13,13,可口可樂,汽水迷你罐 ,200MLX6 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",25.0
15,15,可口可樂,汽水-高罐裝 ,330MLX4 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",15.9
16,16,可口可樂,汽水 ,330MLX8 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",34.9
17,17,可口可樂,無糖汽水-汽水迷你罐 ,200MLX6 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",25.0
18,18,OOHA,白桃烏龍茶味汽水 ,330MLX4 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",23.0
19,19,玉泉,梳打水迷你罐 ,200MLX6 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",27.0
21,21,OOHA,柚子海鹽味汽水 ,330MLX4 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",23.0
22,22,C.C. LEMON,有氣檸檬味飲品 ,330MLX6 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",26.9
24,24,利賓納,有氣利賓納-原味 ,325MLX6 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",21.9
26,26,賓得寶 (平行進口),薑啤 ,4'S ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",41.9
27,27,可口可樂,無糖汽水 ,330MLX8 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",34.9
28,28,可口可樂,無糖汽水 ,2L ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",14.9
29,29,玉泉,梳打水 ,330MLX8 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",34.9
32,32,玉泉,忌廉味汽水迷你罐 ,200MLX6 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",25.0
33,33,OOHA,荔枝乳酸味汽水 ,330MLX4 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",23.0
35,35,雪碧,檸檬青檸味汽水迷你罐 ,200MLX6 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",25.0
37,37,玉泉(平行進口),泰國限定青檸梳打 (新舊包裝隨機發送) ,330MLX6 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",34.5
39,39,屈臣氏,沙示汽水飲品 ,330MLX6 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",20.6
41,41,可口可樂,無糖汽水-高罐裝 ,330MLX4 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",15.9
42,42,泰象,青檸味梳打水 ,325MLX6 ,https://image.ztore.com/images/ztore/production/product/368px/1045733_1.jpg?1625213132,26.9
43,43,屈臣氏,青檸味蘇打水 ,330MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/1036970_1.jpg?1659330094,17.9
