,product_name,description,brand,price,market,category
0,屈臣氏哥喇汽水飲品330 毫升(4 罐裝),330MLX4,屈臣氏,17.9,PK_shop,drinks
1,忌廉溝鮮奶（奶類碳酸飲品）,250MLx6,樂天,21.9,PK_shop,drinks
2,湯力水,330MLX4,屈臣氏,17.9,PK_shop,drinks
3,蘇打水（１２罐裝混合口味派對裝）(包裝款式隨機發送),330MLX12,屈臣氏,38.0,PK_shop,drinks
4,白檸味汽水飲品,330MLX4,屈臣氏,17.9,PK_shop,drinks
5,屈臣氏蘇打水330毫升(四罐混合裝),4X330ML,屈臣氏,17.9,PK_shop,drinks
6,蜜桃味蘇打水,420MLX4,屈臣氏,27.9,PK_shop,drinks
7,屈臣氏蘇打水330毫升(原味莫希托味四罐混合裝),330MLX4,屈臣氏,17.9,PK_shop,drinks
8,經典蘇打水（青檸味）,420MLX4,屈臣氏,27.9,PK_shop,drinks
9,沖繩酸橘子味蘇打水,420MLX4,屈臣氏,27.9,PK_shop,drinks
10,乳酸味梳打水,420MLX4,屈臣氏,27.9,PK_shop,drinks
11,意大利西西里檸檬蘇打水,420ML,屈臣氏-,7.9,PK_shop,drinks
12,沖繩菠蘿味蘇打水,420ML,屈臣氏-,7.9,PK_shop,drinks
13,蘇打水６罐裝（百佳５０周年特別版）,330MLX6,屈臣氏-,23.0,PK_shop,drinks
14,忌廉溝鮮奶,500ML,樂天,8.5,PK_shop,drinks
15,檸七,250MLx6,樂天,21.9,PK_shop,drinks
16,可口可樂８罐裝,330MLX8,可口可樂,37.0,PK_shop,drinks
17,無糖可口可樂汽水,330MLX12,可口可樂,43.0,PK_shop,drinks
18,無糖可口可樂汽水,330MLX8,可口可樂,37.0,PK_shop,drinks
19,可口可樂,1.25L,可口可樂,12.0,PK_shop,drinks
20,無糖可口可樂汽水,1.25L,可口可樂,12.0,PK_shop,drinks
21,可口可樂500毫升,500ML,可口可樂,9.0,PK_shop,drinks
22,梳打水,325ML,泰象啤,4.5,PK_shop,drinks
23,可口可樂,2L,可口可樂,15.0,PK_shop,drinks
24,無糖可口可樂汽水,500ML,可口可樂,9.0,PK_shop,drinks
25,無糖檸檬青檸味汽水,330MLX8,雪碧,37.0,PK_shop,drinks
26,加系可口可樂（無糖）,500ML,可口可樂,9.5,PK_shop,drinks
27,可口可樂高罐,4X330ML,可口可樂,19.5,PK_shop,drinks
28,檸檬碳酸飲品6罐裝,330MLX6,三得利,26.0,PK_shop,drinks
29,橙味,330MLx8,芬達,37.0,PK_shop,drinks
30,+C有氣檸檬味飲品,330MLx8,玉泉,37.0,PK_shop,drinks
31,薑啤,375ML,賓得寶,15.5,PK_shop,drinks
32,輕怡七喜,330MLx8,七喜,31.9,PK_shop,drinks
33,零系忌廉,330MLx8,玉泉,37.0,PK_shop,drinks
34,汽水,12X330ML,七喜,42.9,PK_shop,drinks
35,健怡薑啤,375ML,賓得寶,15.5,PK_shop,drinks
36,忌廉,330MLx12,玉泉,43.0,PK_shop,drinks
37,西柚味,330MLx8,玉泉,37.0,PK_shop,drinks
38,百事可樂,330MLX8,百事,31.9,PK_shop,drinks
39,有汽黑加侖子飲品 六罐裝,6X325ML,利賓納,25.5,PK_shop,drinks
40,新得利有氣檸檬味飲品,500ML,三得利,7.9,PK_shop,drinks
41,七喜,8X330ML,七喜,31.9,PK_shop,drinks
42,橙味,2L,芬達,15.0,PK_shop,drinks
43,檸檬青檸味,2L,雪碧,15.0,PK_shop,drinks
44,有汽檸檬水迷你罐,6X200ML,玉泉,28.0,PK_shop,drinks
45,青檸梳打,340ML,賓得寶,15.5,PK_shop,drinks
46,汽水,330MLx8,沙示,26.9,PK_shop,drinks
47,紅牛無糖能量飲品 250亳升 (4 罐裝),4x250ML,紅牛,54.9,PK_shop,drinks
48,+C有氣檸檬味飲品,500ML,玉泉,9.0,PK_shop,drinks
49,忌廉,500ML,玉泉,9.0,PK_shop,drinks
50,葡萄味碳酸飲品,500G,新加利亞,12.9,PK_shop,drinks
51,汽水,2L,七喜,12.0,PK_shop,drinks
52,意大利有氣紅橙果汁,4X330ML,聖培露,39.9,PK_shop,drinks
53,Ｃ＆Ｃ碳酸飲品（提子口味）,6X330ML,黑松,26.9,PK_shop,drinks
54,橙味,500ML,芬達,9.0,PK_shop,drinks
55,碳酸飲品,500G,新加利亞,12.9,PK_shop,drinks
56,蜜瓜梳打,500ML,新加利亞,12.9,PK_shop,drinks
57,意大利有氣檸檬果汁,4X330ML,聖培露,39.9,PK_shop,drinks
58, 無糖可口可樂汽水高罐裝,4X330ML,可口可樂,19.5,PK_shop,drinks
