,product_name,image,description,price
0,#137度 原味杏仁奶,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0025605551654938033.jpg,180ML,HK$12.90
1,#137度 無糖杏仁奶,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0025605891654938036.jpg,180ML,HK$12.90
2,#泰象 梳打水,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0022884051654936469.jpg,325ML,HK$6.00
3,#象啤 大樽裝,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0022703121654936357.jpg,620ML,HK$14.90
4,(原箱) SUNTORY CHU-HI有汽酒雜果味,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/2/020132163-B1655017028.jpg,350ml,HK$333.60
5,(原箱) TOPVALU BP綠茶,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/002711513-B1655016949.jpg,500ML,HK$213.60
6,(原箱) TOPVALU GE 有機焙煎茶,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0021336841654712831.jpg,2L,HK$101.40
7,(原箱) TOPVALU GE 有機玄米茶 2000ml,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/4/5/4549414231816_pc_l.jpg,2L,HK$101.40
8,(原箱) TOPVALU 日本薏米麥茶,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/4/9/4902121239108_2_.jpg,600ML,HK$213.60
9,(原箱) TOPVALU 日本薏米麥茶,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/4/9/4901810569809_2__1.jpg,2L,HK$101.40
10,(原箱) TOPVALU 銀毫茉莉花茶,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/002750859-B1655016956.jpg,1pc,HK$101.40
11,(原箱) TOPVALU 麥茶,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0022540501654713805.jpg,590ML,HK$213.60
12,(原箱) TV BP 威士忌力嬌 720ML,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/2/0/20209227.jpg,720ml,HK$948.00
13,(原箱) TV BP 拿鐵風味咖啡,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/2/020133237-B1655017029.jpg,500ml,HK$285.60
14,(原箱) TV GE 有機玄米茶525ml,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/2/020022182-B1655017011.jpg,525ml,HK$213.60
15,(原箱) TV 清爽綠茶 1000ML,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/4/9/4902121400515_2__1.jpg,1000ml,HK$202.80
16,(原箱) TV 清爽麥燒酎,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0020339001654712002.jpg,1pc,HK$287.40
17,(原箱) TV 牛奶咖啡,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0021005351654712581.jpg,500ML,HK$285.60
18,(原箱) TV 純正蘋果醋飲料,https://www.aeoncity.com.hk/media/catalog/product/placeholder/default/aeon_place_1.jpeg,500ml,HK$478.80
19,(原箱) TV 蜜糖蘋果醋飲品,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0021081241654712635.jpg,500ML,HK$404.10
20,(原箱) TV 食物纖維烏龍茶 1000ML,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/4/5/4549741184960_2__1.jpg,1000ml,HK$202.80
21,(原箱) 合同酒精 有汽酒 北海道瓜拿納味,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/2/0/20246294_1.jpg,350ml,HK$309.60
22,(原箱) 合同酒精 東京風 梅味炭酸汽酒,https://www.aeoncity.com.hk/media/catalog/product/placeholder/default/aeon_place_1.jpeg,350ml,HK$309.60
23,(原箱) 喬亞 日本工匠黑咖啡,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/002454643-B1655016923.jpg,500ML,HK$357.60
24,(原箱) 微醉可樂氣酒,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/2/020028361-B1655017013.jpg,350毫升,HK$333.60
25,#137度 原味杏仁奶,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0025605551654938033.jpg,180ML,HK$12.90
26,#137度 無糖杏仁奶,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0025605891654938036.jpg,180ML,HK$12.90
27,#泰象 梳打水,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0022884051654936469.jpg,325ML,HK$6.00
28,#象啤 大樽裝,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0022703121654936357.jpg,620ML,HK$14.90
29,(原箱) SUNTORY CHU-HI有汽酒雜果味,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/2/020132163-B1655017028.jpg,350ml,HK$333.60
30,(原箱) TOPVALU BP綠茶,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/002711513-B1655016949.jpg,500ML,HK$213.60
31,(原箱) TOPVALU GE 有機焙煎茶,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0021336841654712831.jpg,2L,HK$101.40
32,(原箱) TOPVALU GE 有機玄米茶 2000ml,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/4/5/4549414231816_pc_l.jpg,2L,HK$101.40
33,(原箱) TOPVALU 日本薏米麥茶,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/4/9/4902121239108_2_.jpg,600ML,HK$213.60
34,(原箱) TOPVALU 日本薏米麥茶,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/4/9/4901810569809_2__1.jpg,2L,HK$101.40
35,(原箱) TOPVALU 銀毫茉莉花茶,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/002750859-B1655016956.jpg,1pc,HK$101.40
36,(原箱) TOPVALU 麥茶,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0022540501654713805.jpg,590ML,HK$213.60
37,(原箱) TV BP 威士忌力嬌 720ML,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/2/0/20209227.jpg,720ml,HK$948.00
38,(原箱) TV BP 拿鐵風味咖啡,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/2/020133237-B1655017029.jpg,500ml,HK$285.60
39,(原箱) TV GE 有機玄米茶525ml,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/2/020022182-B1655017011.jpg,525ml,HK$213.60
40,(原箱) TV 清爽綠茶 1000ML,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/4/9/4902121400515_2__1.jpg,1000ml,HK$202.80
41,(原箱) TV 清爽麥燒酎,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0020339001654712002.jpg,1pc,HK$287.40
42,(原箱) TV 牛奶咖啡,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0021005351654712581.jpg,500ML,HK$285.60
43,(原箱) TV 純正蘋果醋飲料,https://www.aeoncity.com.hk/media/catalog/product/placeholder/default/aeon_place_1.jpeg,500ml,HK$478.80
44,(原箱) TV 蜜糖蘋果醋飲品,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0021081241654712635.jpg,500ML,HK$404.10
45,(原箱) TV 食物纖維烏龍茶 1000ML,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/4/5/4549741184960_2__1.jpg,1000ml,HK$202.80
46,(原箱) 合同酒精 有汽酒 北海道瓜拿納味,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/2/0/20246294_1.jpg,350ml,HK$309.60
47,(原箱) 合同酒精 東京風 梅味炭酸汽酒,https://www.aeoncity.com.hk/media/catalog/product/placeholder/default/aeon_place_1.jpeg,350ml,HK$309.60
48,(原箱) 喬亞 日本工匠黑咖啡,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/002454643-B1655016923.jpg,500ML,HK$357.60
49,(原箱) 微醉可樂氣酒,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/2/020028361-B1655017013.jpg,350毫升,HK$333.60
50,*榛果杏仁茶,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0022850621654936457.jpg,12X30G,HK$49.90
51,*紅葡萄醋,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0025442371654937929.jpg,600ML,HK$69.00
52,*蘋果氣泡飲料,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0028446451654939287.jpg,500ML,HK$7.90
53,137 原味杏仁奶,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0022889591654936473.jpg,1pc,HK$43.90
54,137 無糖杏仁奶,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0025607951654938041.jpg,1000ML,HK$43.90
55,Asahi 早晨咖啡,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0029638741654939854.jpg,185G,HK$11.90
56,BAREFOOT CABERNET SAUVIGNON,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0025482951654937947.jpg,1pc,HK$59.00
57,Binggrae 韓國香蕉奶6包裝,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0028727601654939404.jpg,6PCS,HK$47.90
58,BLENDY 牛奶咖啡,https://www.aeoncity.com.hk/media/catalog/product/placeholder/default/aeon_place_1.jpeg,,HK$29.90
59,BLENDY 甘味咖啡,https://www.aeoncity.com.hk/media/catalog/product/placeholder/default/aeon_place_1.jpeg,,HK$29.90
60,BOSS 黑咖啡,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0021645641654713117.jpg,185G,HK$12.90
61,BOSS彩虹咖啡,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0021717001654713189.jpg,185G,HK$12.90
62,BUNDABERG 健怡薑啤,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0026857251654938576.jpg,375ML,HK$17.90
63,Bundaberg 桃味梳打,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0027908971654939006.jpg,375ML,HK$20.90
64,BUNDABERG 沙示梳打,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0023527061654936836.jpg,375ML,HK$17.90
65,Bundaberg 石榴梳打,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0027908891654939005.jpg,375ML,HK$20.90
66,BUNDABERG 薑啤,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0029345601654939657.jpg,375ML,HK$17.90
67,BUNDABERG 青檸梳打,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0029345861654939657.jpg,375 ML,HK$17.90
68,CALPIS 無糖乳酸水,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0021670051654713161.jpg,500ML,HK$16.90
69,CHOYA一年熟成本格梅酒,https://www.aeoncity.com.hk/media/catalog/product/placeholder/default/aeon_place_1.jpeg,200ml,HK$47.90
70,CHOYA清新梅酒(內含梅果),https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/2/0202206201654941381.jpg,160ml,HK$35.90
71,CHU-HI有汽酒 梅味 500ml,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/2/0200843981654941252.jpg,500ML,HK$13.90
72,CHU-HI雞尾酒 檸檬味 350ML,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/4/5/4549741877503_2_.jpg,350ml,HK$9.90
73,CHU-HI雞尾酒 檸檬味 500ml,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/2/0200843721654941249.jpg,500ML,HK$13.90
74,COCOWAY 100%椰子水,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0021634001654713112.jpg,350ML,HK$13.90
75,CORONA EXTRA 墨西哥啤酒,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0021009801654712592.jpg,355ML,HK$14.90
